Acme Lab, , Building
Tank 4, Acme Lab, Freezer
Section 1, Acme Lab/Tank 4, Section
Frame 1, Acme Lab/Tank 4/Section 1, Frame
Position 1, Acme Lab/Tank 4/Section 1/Frame 1, Position
Position 2, Acme Lab/Tank 4/Section 1/Frame 1, Position
Position 3, Acme Lab/Tank 4/Section 1/Frame 1, Position
Position 4, Acme Lab/Tank 4/Section 1/Frame 1, Position
Position 5, Acme Lab/Tank 4/Section 1/Frame 1, Position
Position 6, Acme Lab/Tank 4/Section 1/Frame 1, Position
Position 7, Acme Lab/Tank 4/Section 1/Frame 1, Position
Frame 2, Acme Lab/Tank 4/Section 1, Frame
Position 1, Acme Lab/Tank 4/Section 1/Frame 2, Position
Position 2, Acme Lab/Tank 4/Section 1/Frame 2, Position
Position 3, Acme Lab/Tank 4/Section 1/Frame 2, Position
Position 4, Acme Lab/Tank 4/Section 1/Frame 2, Position
Position 5, Acme Lab/Tank 4/Section 1/Frame 2, Position
Position 6, Acme Lab/Tank 4/Section 1/Frame 2, Position
Position 7, Acme Lab/Tank 4/Section 1/Frame 2, Position
Frame 3, Acme Lab/Tank 4/Section 1, Frame
Position 1, Acme Lab/Tank 4/Section 1/Frame 3, Position
Position 2, Acme Lab/Tank 4/Section 1/Frame 3, Position
Position 3, Acme Lab/Tank 4/Section 1/Frame 3, Position
Position 4, Acme Lab/Tank 4/Section 1/Frame 3, Position
Position 5, Acme Lab/Tank 4/Section 1/Frame 3, Position
Position 6, Acme Lab/Tank 4/Section 1/Frame 3, Position
Position 7, Acme Lab/Tank 4/Section 1/Frame 3, Position
Frame 4, Acme Lab/Tank 4/Section 1, Frame
Position 1, Acme Lab/Tank 4/Section 1/Frame 4, Position
Position 2, Acme Lab/Tank 4/Section 1/Frame 4, Position
Position 3, Acme Lab/Tank 4/Section 1/Frame 4, Position
Position 4, Acme Lab/Tank 4/Section 1/Frame 4, Position
Position 5, Acme Lab/Tank 4/Section 1/Frame 4, Position
Position 6, Acme Lab/Tank 4/Section 1/Frame 4, Position
Position 7, Acme Lab/Tank 4/Section 1/Frame 4, Position
Frame 5, Acme Lab/Tank 4/Section 1, Frame
Position 1, Acme Lab/Tank 4/Section 1/Frame 5, Position
Position 2, Acme Lab/Tank 4/Section 1/Frame 5, Position
Position 3, Acme Lab/Tank 4/Section 1/Frame 5, Position
Position 4, Acme Lab/Tank 4/Section 1/Frame 5, Position
Position 5, Acme Lab/Tank 4/Section 1/Frame 5, Position
Position 6, Acme Lab/Tank 4/Section 1/Frame 5, Position
Position 7, Acme Lab/Tank 4/Section 1/Frame 5, Position
